Year,Disaster Type,Country,Location,Total Deaths,ISO
1954,Transport accident,Japan,Tsugaru detroit,1172,JPN
1954,Storm,Japan,"Tohoku, Hokkaido",419,JPN
1954,Transport accident,Korea (the Republic of),Seoul,56,KOR
1954,Flood,Nepal,,60,NPL
1954,Transport accident,Pakistan,Karachi,60,PAK
1954,Flood,Pakistan,,300,PAK
1954,Flood,Pakistan,,46,PAK
1954,Earthquake,Philippines (the),"Luzon, Sorsogon, Bacon, Legaspi",13,PHL
1954,Transport accident,Philippines (the),Negros Island,55,PHL
1954,Miscellaneous accident,Turkey,Constantinople,2000,TUR
1955,Storm,India,,120,IND
1955,Landslide,Japan,,73,JPN
1955,Storm,Japan,,72,JPN
1955,Miscellaneous accident,Japan,Yokohama,100,JPN
1955,Storm,Japan,,198,JPN
1955,Flood,Lebanon,,440,LBN
1955,Earthquake,Philippines (the),"Mindanao, Lanao, Ozamis city",400,PHL
1955,Storm,Philippines (the),,51,PHL
1955,Storm,Philippines (the),,93,PHL
1956,Flood,India,"Gujarat, Saurashtra, Kutch",,IND
1956,Flood,India,"Bihar, Uttar Pradesh",100,IND
1956,Flood,India,,50,IND
1956,Earthquake,Iran (Islamic Republic of),"Laristan, Bastak",350,IRN
1956,Flood,Iran (Islamic Republic of),Kashan province,1000,IRN
1956,Landslide,Japan,,40,JPN
1956,Storm,Japan,,46,JPN
1956,Storm,Japan,,44,JPN
1956,Landslide,Korea (the Republic of),,103,KOR
1956,Earthquake,Lebanon,"Bekaa, Litani",136,LBN
1956,Flood,Pakistan,,270,PAK
1956,Storm,Philippines (the),,79,PHL
1956,Storm,Philippines (the),,50,PHL
1956,Flood,Turkey,,138,TUR
1957,Earthquake,Iran (Islamic Republic of),Keyur Mesqal,44,IRN
1957,Flood,India,"Madya Pradesh, Uttar Pradesh",42,IND
1957,Flood,India,,92,IND
1957,Flood,India,,53,IND
1957,Earthquake,Iran (Islamic Republic of),"Hazanderan, Abegarm; Caspian Shores",2500,IRN
1957,Earthquake,Iran (Islamic Republic of),Farsinaj (Western Iran),3000,IRN
1957,Flood,Iran (Islamic Republic of),,122,IRN
1957,Storm,Japan,,109,JPN
1957,Flood,Japan,Kyushu Isl.,992,JPN
1957,Storm,Korea (the Republic of),,238,KOR
1957,Flood,Korea (the Republic of),,247,KOR
1957,Storm,Sri Lanka,Spate,200,LKA
1957,Earthquake,Mongolia,Altay,1200,MNG
1957,Transport accident,Pakistan,Near Montgomery (West Pakistan),300,PAK
1957,Flood,Pakistan,,75,PAK
1957,Storm,Philippines (the),,89,PHL
1957,Earthquake,Turkey,Abant (Bolu province),53,TUR
1957,Flood,Turkey,,99,TUR
1958,Storm,India,Vishakhapatam,,IND
1958,Flood,India,Madras city,5,IND
1958,Earthquake,Iran (Islamic Republic of),"Teheran, Firuzabad (Western Iran)",191,IRN
1958,Storm,Japan,Tokyo,681,JPN
1958,Storm,Japan,Central Honshu,1175,JPN
1958,Storm,Japan,,49,JPN
1958,Storm,Japan,,45,JPN
1958,Storm,Taiwan (Province of China),,31,TWN
1959,Flood,India,Kutch,17,IND
1959,Flood,India,,104,IND
1959,Flood,India,,500,IND
1959,Storm,Japan,Entire nation,5098,JPN
1959,Storm,Japan,,139,JPN
1959,Storm,Japan,,27,JPN
1959,Flood,Japan,,41,JPN
1959,Storm,Korea (the Republic of),,432,KOR
1959,Flood,Korea (the Republic of),,62,KOR
1959,Landslide,Pakistan,Lowarai Pass,48,PAK
1959,Flood,Pakistan,,100,PAK
1959,Storm,Philippines (the),,29,PHL
1959,Storm,Taiwan (Province of China),,1046,TWN
1960,Earthquake,Japan,"Onagawa, Honshu Island",138,JPN
1960,Flood,India,"Maduri, Madras City",5,IND
1960,Flood,India,,30,IND
1960,Flood,India,,47,IND
1960,Flood,India,,155,IND
1960,Earthquake,Iran (Islamic Republic of),"Lar, Gerash",480,IRN
1960,Storm,Japan,,41,JPN
1960,Earthquake,Philippines (the),Nationwide,32,PHL
1960,Landslide,Philippines (the),,40,PHL
1960,Storm,Philippines (the),South Wet of Manilla,56,PHL
1960,Storm,Philippines (the),Luzon,234,PHL
1960,Storm,Philippines (the),South Luzon,100,PHL
1960,Storm,Philippines (the),"Central, South Luzon",150,PHL
1960,Storm,Philippines (the),Luzon,58,PHL
1960,Storm,Philippines (the),,33,PHL
1960,Storm,Taiwan (Province of China),,199,TWN
1961,Flood,India,North,2000,IND
1961,Flood,India,"Central, West India",,IND
1961,Flood,India,Uttar Pradesh,57,IND
1961,Flood,India,,1000,IND
1961,Storm,Japan,Honshu + other Isles,202,JPN
1961,Flood,Japan,Entire Nation except Hokkaido,357,JPN
1961,Storm,Japan,,94,JPN
1961,Flood,Korea (the Republic of),,249,KOR
1961,Industrial accident,Philippines (the),"Binondo, Manila",15,PHL
1961,Storm,Taiwan (Province of China),,106,TWN
1962,Storm,India,"Punjab, Delhi, M.P.",,IND
1962,Flood,India,,100,IND
1962,Flood,India,,73,IND
1962,Earthquake,Iran (Islamic Republic of),"Buyin-Zara, Qazvin",12000,IRN
1962,Transport accident,Japan,Near Tokyo,163,JPN
1962,Flood,Japan,,71,JPN
1962,Flood,Korea (the Republic of),,290,KOR
1962,Storm,Philippines (the),,41,PHL
1962,Storm,Philippines (the),,156,PHL
1962,Storm,Thailand,,769,THA
1962,Storm,Taiwan (Province of China),,107,TWN
1963,Storm,India,"Orissa, Uttar Pradesh, Punjab",200,IND
1963,Flood,India,,200,IND
1963,Flood,Jordan,,25,JOR
1963,Storm,Japan,,,JPN
1963,Transport accident,Japan,Yokohama,162,JPN
1963,Storm,Japan,,86,JPN
1963,Storm,Japan,,47,JPN
1963,Landslide,Korea (the Republic of),,116,KOR
1963,Storm,Myanmar,Akyab,,MMR
1963,Epidemic,Myanmar,,,MMR
1963,Mass movement (dry),Nepal,Trisuli,150,NPL
1963,Epidemic,Nepal,,1000,NPL
1963,Storm,Philippines (the),North Luzon,1,PHL
1963,Transport accident,Turkey,Ankara,95,TUR
1964,Drought,Iran (Islamic Republic of),,,IRN
1964,Earthquake,Japan,"Niigata, Hodo Isl.",25,JPN
1964,Drought,India,Mysore,,IND
1964,Drought,India,"Rajasthan, center",,IND
1964,Flood,India,"Assam, Bihar, Punjab",145,IND
1964,Flood,India,Andhra Pradesh,,IND
1964,Flood,India,,51,IND
1964,Flood,India,,36,IND
1964,Landslide,Japan,West Coast,108,JPN
1964,Storm,Japan,,42,JPN
1964,Industrial accident,Japan,Omuta,447,JPN
1964,Flood,Japan,,136,JPN
1964,Storm,Korea (the Republic of),"North Seoul, Kyonggi province",210,KOR
1964,Storm,Sri Lanka,"Trincomalee, East coast",206,LKA
1964,Miscellaneous accident,Myanmar,Tenasserim Coast,,MMR
1964,Drought,Nepal,Mountain areas,,NPL
1964,Storm,Pakistan,"Coast, Low Indus valley",450,PAK
1964,Flood,Pakistan,Lahore district,,PAK
1964,Storm,Philippines (the),"South, Central Luzon",56,PHL
1964,Storm,Philippines (the),"North Mindanao, South Luzon",580,PHL
1964,Flood,Saudi Arabia,Nedjaran,20,SAU
1964,Storm,Turkey,Southern,,TUR
1964,Earthquake,Turkey,"Manyas, Bursa, Balikesir provinces (West)",23,TUR
1964,Epidemic,Turkey,Adana Province,19,TUR
1964,Flood,Turkey,Western-Eskisehir,,TUR
1964,Earthquake,Taiwan (Province of China),Tainan,107,TWN
1965,Drought,India,Nationwide except south,1500000,IND
1965,Epidemic,Iran (Islamic Republic of),East and North East Provinces,288,IRN
1965,Flood,Jordan,Amman to Ma-An,8,JOR
1965,Storm,Japan,,61,JPN
1965,Storm,Japan,South,26,JPN
1965,Storm,Japan,"Shikoku, Honshu",60,JPN
1965,Flood,Japan,West,28,JPN
1965,Flood,Japan,South,114,JPN
1965,Flood,Korea (the Republic of),Nationwide,323,KOR
1965,Storm,Myanmar,"South, Central",100,MMR
1965,Miscellaneous accident,Myanmar,"(1) Weluwun Qtr, Rangoon, (2) W. Okkyin Qtr, Rangoon, (3) Palaing Qtr, Mandalay",,MMR
1965,Flood,Myanmar,Yamenthin district,34,MMR
1965,Flood,Malaysia,Peninsular East coast,6,MYS
1965,Storm,Pakistan,Karachi,10000,PAK
1965,Volcanic activity,Philippines (the),,355,PHL
1965,Storm,Philippines (the),"Cotabato, Luzon",37,PHL
1965,Miscellaneous accident,Philippines (the),Lucena city,,PHL
1965,Transport accident,Syrian Arab Republic,Damas,54,SYR
1965,Epidemic,Turkey,,461,TUR
1965,Storm,Taiwan (Province of China),,31,TWN
1965,Storm,Taiwan (Province of China),Entire Island,24,TWN
1966,Flood,India,"Manipur, Assam",47,IND
1966,Flood,Iran (Islamic Republic of),Northwest,42,IRN
1966,Flood,Jordan,Maian,259,JOR
1966,Storm,Japan,Honshu,44,JPN
1966,Storm,Japan,Ryukyu Islands,314,JPN
1966,Transport accident,Japan,Tokyo,64,JPN
1966,Miscellaneous accident,Japan,Misawa City,,JPN
1966,Miscellaneous accident,Korea (the Republic of),"Seoul, Namsandong",22,KOR
1966,Flood,Korea (the Republic of),"Seoul, Kyonggi",95,KOR
1966,Flood,Lao People's Democratic Republic (the),,300,LAO
1966,Flood,Sri Lanka,Southwest,23,LKA
1966,Flood,Mongolia,Ulan Bator,57,MNG
1966,Earthquake,Nepal,Nepal-India border,80,NPL
1966,Storm,Philippines (the),"Visayas, South Luzon",18,PHL
1966,Miscellaneous accident,Philippines (the),Iloilo City,,PHL
1966,Miscellaneous accident,Saudi Arabia,Jarou Diya village,1,SAU
1966,Flood,Thailand,Chiengrai to Ubon,6,THA
1966,Earthquake,Turkey,Mus province,14,TUR
1966,Earthquake,Turkey,Varto,2394,TUR
1966,Storm,Taiwan (Province of China),South-Central Taiwan,36,TWN
1967,Flood,India,"North, Central",300,IND
1967,Flood,Iraq,Euphrates River Valley,,IRQ
1967,Storm,Japan,"South West, Western Japan",263,JPN
1967,Storm,Japan,Central region,27,JPN
1967,Flood,Japan,Central,347,JPN
1967,Flood,Japan,"Niigata, Yamagata",142,JPN
1967,Drought,Korea (the Republic of),South,,KOR
1967,Epidemic,Sri Lanka,Nationwide,2,LKA
1967,Flood,Sri Lanka,"(1) Colombo area, (2) North, North Central, East provinces",24,LKA
1967,Storm,Myanmar,"Arakan Coast, West Irraw",100,MMR
1967,Storm,Myanmar,"North West Coast-Akyab, Monywa",178,MMR
1967,Miscellaneous accident,Malaysia,Pulau Ketam (West coast),,MYS
1967,Flood,Malaysia,"Kelantan, Trengganu",50,MYS
1967,Epidemic,Nepal,Naura village,17,NPL
1967,Drought,Nepal,Western Montain,,NPL
1967,Flood,Pakistan,Karachi area,32,PAK
1967,Storm,Philippines (the),"Samar Island, Visayas, Bicol, Southern Tagalog, Central Luzon",107,PHL
1967,Flood,Syrian Arab Republic,"Aleppo, Raqqa, Dayr",,SYR
1967,Earthquake,Turkey,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",183,TUR
1967,Transport accident,Turkey,South West coast Turkey,66,TUR
1967,Miscellaneous accident,Turkey,Kayseri,44,TUR
1967,Storm,Taiwan (Province of China),Formosa,69,TWN
1968,Earthquake,Japan,Aomori Prefecture - Hokkaido,47,JPN
1968,Earthquake,Philippines (the),"Luzon Is., Manila",271,PHL
1968,Earthquake,Turkey,"Bartin, Amasra, Cakraz (North Anatolia)",24,TUR
1968,Flood,India,Assam,,IND
1968,Flood,India,,1000,IND
1968,Flood,India,,560,IND
1968,Earthquake,Iran (Islamic Republic of),"Azarbaijan, Maku, Shah Bandalu, Qurta Bolagh, Qondeqli",38,IRN
1968,Earthquake,Iran (Islamic Republic of),Khorasan province,10000,IRN
1968,Flood,Iran (Islamic Republic of),Caspian Coast,30,IRN
1968,Flood,Iraq,Euphrates River Basin,,IRQ
1968,Storm,Japan,"Kyushu, Shikoku",22,JPN
1968,Storm,Japan," Kagoshima, Makurazaki",,JPN
1968,Storm,Japan,"Osaka, Sumoto",102,JPN
1968,Industrial accident,Japan,Fukuoka,,JPN
1968,Storm,Korea (the Republic of),East Coast,18,KOR
1968,Flood,Lao People's Democratic Republic (the),"South, along Mekong river",2,LAO
1968,Storm,Myanmar,North Arakan Coast,1070,MMR
1968,Epidemic,Malaysia,West Malaysia,2,MYS
1968,Storm,Malaysia,"Johore, S. Lowlands",21,MYS
1968,Flood,Nepal,East,276,NPL
1968,Epidemic,Pakistan,Multan District,37,PAK
1968,Volcanic activity,Philippines (the),"Albay province, Luzon",3,PHL
1968,Storm,Philippines (the),Luzon,,PHL
1968,Storm,Philippines (the),"South Visayas, Samar, Luzon",50,PHL
1968,Flood,Philippines (the),Mindanao,29,PHL
1968,Miscellaneous accident,Thailand,Chiang Khan,,THA
1968,Epidemic,Turkey,Countrywide (Except East),98,TUR
1968,Flood,Turkey,Igel,147,TUR
1969,Storm,India,Kannaman,15,IND
1969,Storm,India,Madras City,,IND
1969,Earthquake,Iran (Islamic Republic of),Khurasan province,50,IRN
1969,Flood,Iran (Islamic Republic of),Azerbaijan,20,IRN
1969,Drought,Iraq,"Ninauri, Kirkuk, Arbil",,IRQ
1969,Miscellaneous accident,Japan,Tokyo Hotel,28,JPN
1969,Storm,Japan, Kyushu Island,72,JPN
1969,Epidemic,Korea (the Republic of),Countrywide,137,KOR
1969,Storm,Korea (the Republic of),Hwachon,85,KOR
1969,Flood,Korea (the Republic of),"East, South coastal provinces",408,KOR
1969,Flood,Lao People's Democratic Republic (the),Vientiane plains,,LAO
1969,Flood,Sri Lanka,"East, North, Central & South provinces",62,LKA
1969,Miscellaneous accident,Myanmar,Sagaing,11,MMR
1969,Volcanic activity,Philippines (the),,,PHL
1969,Storm,Philippines (the),North,11,PHL
1969,Miscellaneous accident,Philippines (the),"Binondo, Manila",,PHL
1969,Miscellaneous accident,Philippines (the),"Catbalogan, Western Samar",,PHL
1969,Miscellaneous accident,Philippines (the),"Cebu city, Lapu-Lapu city",,PHL
1969,Miscellaneous accident,Philippines (the),Cotabato city,,PHL
1969,Miscellaneous accident,Philippines (the),"Sangay, Negros Occidental",,PHL
1969,Earthquake,Turkey,"West Alasehir, Sarigol, Kirz",53,TUR
1969,Storm,Taiwan (Province of China),Countrywide,194,TWN
1969,Storm,Taiwan (Province of China),,75,TWN
1970,Flood,India,"North-East, Western, North",627,IND
1970,Storm,India,Madras city (Tamil Nadu),,IND
1970,Flood,India,"Gujarat, Orissa states",400,IND
1970,Earthquake,Iran (Islamic Republic of),"Karnaveh, Marev",176,IRN
1970,Landslide,Iran (Islamic Republic of),North East of Teheran,43,IRN
1970,Industrial accident,Iran (Islamic Republic of),Agha Jari,34,IRN
1970,Landslide,Israel,Neot Hakikar,20,ISR
1970,Miscellaneous accident,Japan,Osaka,73,JPN
1970,Storm,Korea (the Republic of),"East, South Esat coast",39,KOR
1970,Flood,Korea (the Republic of),,28,KOR
1970,Flood,Myanmar,Pyinmana,90,MMR
1970,Flood,Malaysia,"West Malaysia, Capital",61,MYS
1970,Landslide,Nepal,Lete,21,NPL
1970,Flood,Nepal,South,350,NPL
1970,Miscellaneous accident,Pakistan,Karachi,,PAK
1970,Earthquake,Philippines (the),Luzon,14,PHL
1970,Storm,Philippines (the),"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",137,PHL
1970,Storm,Philippines (the),"(1) Bicol area, (2) Mindanao",1551,PHL
1970,Storm,Philippines (the),Manila (Quezon province),786,PHL
1970,Storm,Philippines (the),,42,PHL
1970,Storm,Philippines (the),,,PHL
1970,Storm,Philippines (the),,575,PHL
1970,Storm,Philippines (the),,631,PHL
1970,Storm,Philippines (the),,80,PHL
1970,Earthquake,Turkey,Gediz,1086,TUR
1971,Flood,India,North,1023,IND
1971,Flood,India,Uttar Pradesh,300,IND
1971,Flood,India,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,IND
1971,Storm,Japan,Kyushu Island,135,JPN
1971,Transport accident,Japan,Near Morioka,162,JPN
1971,Miscellaneous accident,Korea (the Republic of),,158,KOR
1971,Storm,Korea (the Republic of),Seoul,64,KOR
1971,Storm,Korea (the Republic of),,45,KOR
1971,Flood,Lao People's Democratic Republic (the),Vientiane,14,LAO
1971,Storm,Philippines (the),"Visayas, Palawan",95,PHL
1971,Storm,Philippines (the),Central,57,PHL
1971,Storm,Philippines (the),Central,37,PHL
1971,Storm,Philippines (the),North Luzon,57,PHL
1971,Earthquake,Turkey,Burdur,57,TUR
1971,Earthquake,Turkey,"Bingol, Erzincan",878,TUR
1972,Drought,India,Central,,IND
1972,Storm,India,"Srinagar, Kashmir",50,IND
1972,Storm,Iran (Islamic Republic of),,60,IRN
1972,Earthquake,Iran (Islamic Republic of),"Qir, Karzin, Jahrom, Firuzabad (Southwest Iran)",5057,IRN
1972,Industrial accident,Iraq,,459,IRQ
1972,Landslide,Japan,Oimawashi,80,JPN
1972,Storm,Japan,Honshu,50,JPN
1972,Miscellaneous accident,Japan,,115,JPN
1972,Flood,Japan,,458,JPN
1972,Flood,Korea (the Republic of),"North, Central",672,KOR
1972,Miscellaneous accident,Korea (the Republic of),,50,KOR
1972,Flood,Korea (the Republic of),,75,KOR
1972,Miscellaneous accident,Myanmar,Mergui,5,MMR
1972,Landslide,Nepal,,105,NPL
1972,Drought,Nepal,Hill area,,NPL
1972,Earthquake,Pakistan,"Tangir, Gupis, Rawalpindi, Peshawar",100,PAK
1972,Storm,Philippines (the),Visayan Islands,204,PHL
1972,Storm,Philippines (the),South Luzon,131,PHL
1972,Storm,Philippines (the),"South, Misamis province",100,PHL
1972,Flood,Philippines (the),"Central, NorthLuzon",653,PHL
1972,Storm,Turkey,Istanbul,30,TUR
1973,Transport accident,Japan,Mer du Japon,27,JPN
1973,Storm,Japan,,101,JPN
1973,Flood,Pakistan,"Punjab, Sind",474,PAK
1973,Earthquake,Philippines (the),"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",14,PHL
1973,Storm,Philippines (the),Northern Luzon,26,PHL
1973,Storm,Philippines (the),Central Luzon,50,PHL
1973,Storm,Philippines (the),"(1) Central, (2) Capiz province",270,PHL
1973,Flood,Philippines (the),Cotabato,3,PHL
1974,Earthquake,Japan,"Izu-Hanto, Nakagi",30,JPN
1974,Earthquake,Pakistan,"North Indus R. Valley, Balakot, Patan",4700,PAK
1974,Flood,India,,,IND
1974,Flood,India,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",260,IND
1974,Landslide,Japan,Okuura,17,JPN
1974,Storm,Japan,"West, South",33,JPN
1974,Storm,Japan,Yui,143,JPN
1974,Transport accident,Japan,Tokyo Bay,33,JPN
1974,Industrial accident,Japan,Yokkaichi,,JPN
1974,Storm,Japan,,108,JPN
1974,Miscellaneous accident,Cambodia,Doemkor district (Phnom Penh),130,KHM
1974,Miscellaneous accident,Korea (the Republic of),Séoul,88,KOR
1974,Landslide,Sri Lanka,,27,LKA
1974,Transport accident,Sri Lanka,,191,LKA
1974,Flood,Myanmar,"Myitkyina, Mandalay, Sagaing, Nyaungu, Minbu, Prome, Henzada (Central Burma)",,MMR
1974,Miscellaneous accident,Pakistan,,40,PAK
1974,Storm,Philippines (the),Luzon,106,PHL
1974,Storm,Philippines (the),Luzon,21,PHL
1974,Storm,Philippines (the),North Luzon,26,PHL
1974,Storm,Philippines (the),Luzon,13,PHL
1974,Storm,Philippines (the),Luzon,23,PHL
1974,Storm,Philippines (the),North Luzon,3,PHL
1974,Storm,Philippines (the),South Luzon,11,PHL
1974,Miscellaneous accident,Philippines (the),Agusan Del Norte,,PHL
1974,Flood,Philippines (the),Central Luzon,94,PHL
1974,Flood,Philippines (the),Agusan Del Norte,,PHL
1974,Flood,Syrian Arab Republic,"North, Euphrates, Khabour",,SYR
1974,Flood,Turkey,Silopi,33,TUR
1975,Flood,India,"Northwest, Bihar",350,IND
1975,Storm,India,Eastern,450,IND
1975,Storm,India,Bulandshar (Uttar Pradesh),30,IND
1975,Storm,India,Gujarat,21,IND
1975,Storm,Iran (Islamic Republic of),Damaghan,14,IRN
1975,Landslide,Japan,,30,JPN
1975,Storm,Japan,"Northern, Shikoku",68,JPN
1975,Storm,Myanmar,,200,MMR
1975,Landslide,Nepal,Kathmandu,125,NPL
1975,Extreme temperature ,Pakistan,,14,PAK
1975,Storm,Philippines (the),Mindanao,39,PHL
1975,Miscellaneous accident,Philippines (the),"Sta Cruz, Manila",,PHL
1975,Miscellaneous accident,Philippines (the),Dumaguete City,,PHL
1975,Miscellaneous accident,Philippines (the),General Santos City,1,PHL
1975,Flood,Philippines (the),Davao Del Norte,,PHL
1975,Insect infestation,Philippines (the),Davao Del Sur and Norte,,PHL
1975,Miscellaneous accident,Saudi Arabia,,138,SAU
1975,Flood,Thailand,South,239,THA
1975,Earthquake,Turkey,"Hazro, Hani, Kulp,Lice",2385,TUR
1976,Earthquake,Philippines (the),"Gulf of Moro, Sulu (Mindanao)",6000,PHL
1976,Earthquake,Iran (Islamic Republic of),South Khorasan province,16,IRN
1976,Storm,Japan,Kyushu (Southern),169,JPN
1976,Flood,Japan,North,,JPN
1976,Landslide,Korea (the Republic of),Chonju,25,KOR
1976,Miscellaneous accident,Macao,Macao Waterfront,,MAC
1976,Flood,Myanmar,"Arakan, Magwe divisions",,MMR
1976,Landslide,Nepal,Pahire Phedi,150,NPL
1976,Flood,Pakistan,"Punjab, Sind, North West Frontier",338,PAK
1976,Volcanic activity,Philippines (the),40 miles South Manilla,,PHL
1976,Flood,Philippines (the),Misamis Oriental,8,PHL
1976,Flood,Philippines (the),"Capz, Aklan",10,PHL
1976,Storm,Philippines (the),"Luzon, Manila",274,PHL
1976,Storm,Philippines (the),,3,PHL
1976,Storm,Philippines (the),,110,PHL
1976,Transport accident,Philippines (the),Baguio City,30,PHL
1976,Miscellaneous accident,Philippines (the),Santo Thomas,80,PHL
1976,Miscellaneous accident,Philippines (the),Ceby city,,PHL
1976,Miscellaneous accident,Philippines (the),Surigao City,,PHL
1976,Miscellaneous accident,Philippines (the),Baguio City,2,PHL
1976,Earthquake,Turkey,,2,TUR
1976,Earthquake,Turkey,Denizli,4,TUR
1976,Earthquake,Turkey,Muradiye,3840,TUR
1976,Landslide,Turkey,Ordu province,40,TUR
1976,Landslide,Turkey,,27,TUR
1977,Flood,India,Tamil Nadu,60,IND
1977,Earthquake,Iran (Islamic Republic of),Bandar Abbas area,167,IRN
1977,Earthquake,Iran (Islamic Republic of),"Shahr Kord; Naghan, Ardal, Jaghdan, Dastgerd, Kordan, Sarmur",352,IRN
1977,Earthquake,Iran (Islamic Republic of),"Makhmur, Ilchi",3,IRN
1977,Earthquake,Iran (Islamic Republic of),Hormozgan,3,IRN
1977,Earthquake,Iran (Islamic Republic of),"Sarasiyab, Gish, Bab-Tangal villages (Kerman province)",589,IRN
1977,Volcanic activity,Japan,Sapporo,3,JPN
1977,Storm,Japan,Ryukyus,16,JPN
1977,Storm,Japan,Okino-Erabu,16,JPN
1977,Epidemic,Japan,Arita,1,JPN
1977,Drought,Japan,Okinawa,,JPN
1977,Flood,Japan,"Central, Eastern",5,JPN
1977,Industrial accident,Korea (the Republic of),Iri,56,KOR
1977,Flood,Korea (the Republic of),Seoul area,297,KOR
1977,Flood,Korea (the Republic of),,18,KOR
1977,Drought,Lao People's Democratic Republic (the),Southern provinces,,LAO
1977,Landslide,Sri Lanka,,27,LKA
1977,Epidemic,Sri Lanka,,,LKA
1977,Drought,Sri Lanka,,,LKA
1977,Flood,Myanmar,Central,3,MMR
1977,Epidemic,Malaysia,,,MYS
1977,Storm,Oman,"Masirah Isl., Dhofar, South coast",105,OMN
1977,Storm,Oman,Masirah Island,2,OMN
1977,Flood,Pakistan,Karachi,848,PAK
1977,Earthquake,Philippines (the),Cagayan (N.E. Luzon),1,PHL
1977,Storm,Philippines (the),Northern,60,PHL
1977,Storm,Philippines (the),North Luzon,40,PHL
1977,Storm,Philippines (the),,4,PHL
1977,Storm,Philippines (the),,,PHL
1977,Epidemic,Philippines (the),Benguet,7,PHL
1977,Epidemic,Philippines (the),Palawan,50,PHL
